title,vendor,ingredient_slug,platform,price_eur,dose_mg,servings,notes
Natural Elements Glutathion Komplex,Natural Elements,antioxidants,amazon-de,39.9,250,90,"Mit Selen & Vitamin C, chargengeprüft"
Natural Elements Alpha-Liponsäure Gold,Natural Elements,antioxidants,amazon-de,36.9,600,60,"R-ALA, vegan"
Sunday Natural Astaxanthin Ölkapseln,Sunday Natural,antioxidants,amazon-de,42.0,12,60,"Island Algen, Bio-Leinöl"
Sunday Natural Glutathion Setria,Sunday Natural,antioxidants,amazon-de,59.5,250,60,"Liposomal, laborgeprüft"
Sunday Natural Ergothionein Komplex,Sunday Natural,antioxidants,amazon-de,68.0,5,60,Ergoneine aus Bio-Pilzen
KAL CoQ10 Ubiquinol 100 mg,KAL,antioxidants,iherb,38.0,100,60,"Kaneka QH, Softgel"
Solgar Glutathione Reduced 250 mg,Solgar,antioxidants,amazon-de,44.0,250,60,Kosher & Halal
Garden of Life RAW CoQ10 200 mg,Garden of Life,antioxidants,iherb,64.0,200,60,RAW Whole Food Lipid Blend
MoleQlar Hydroxytyrosol 25 mg,MoleQlar,antioxidants,amazon-de,44.0,25,60,"Olivenpolyphenole, Labor geprüft"
Nootropics Depot L-Ergothioneine 5 mg,Nootropics Depot,antioxidants,amazon-de,56.0,5,60,"Miron-Violettglas, HPLC"
Swanson L-Ergothioneine 5 mg,Swanson,antioxidants,amazon-de,34.0,5,60,"Thioneine, Lab Verified"
Pharma Nord Bio-Quinone Q10 Gold 100 mg,Pharma Nord,antioxidants,shop-apotheke,52.0,100,60,"Pharmaqualität, dänische Herstellung"
Thorne Ashwagandha,Thorne,adaptogens,amazon-de,38.0,500,60,"Sensoril standardisiert, NSF"
Pure Encapsulations Ashwagandha KSM-66,Pure Encapsulations,adaptogens,amazon-de,39.9,500,60,"KSM-66 Root Extract, hypoallergen"
Life Extension Optimized Ashwagandha,Life Extension,adaptogens,amazon-de,33.9,125,60,Shoden 35% Withanolide
NOW Foods Ashwagandha Extract 450 mg,NOW Foods,adaptogens,amazon-de,24.0,450,90,"Standardisiert auf 2,5% Withanolide"
Nootropics Depot KSM-66 Ashwagandha,Nootropics Depot,adaptogens,amazon-de,42.0,600,120,Third-party COA
Thorne Rhodiola,Thorne,adaptogens,amazon-de,37.0,200,60,"3% Rosavin, NSF"
Pure Encapsulations Rhodiola,Pure Encapsulations,adaptogens,amazon-de,35.0,200,60,"3% Rosavine, 1% Salidroside"
Life Extension Rhodiola Extract,Life Extension,adaptogens,amazon-de,28.0,250,60,"3% Rosavin, Non-GMO"
NOW Foods Rhodiola 500 mg,NOW Foods,adaptogens,amazon-de,29.5,500,60,"3% Rosavin, Kosher"
Nature's Way Rhodiola Rosea,Nature's Way,adaptogens,amazon-de,32.0,250,60,"Standardized, Tru-ID"
il Hwa Korean Ginseng Extract,il Hwa,adaptogens,shop-apotheke,58.0,200,60,"Panax Ginseng G115, Pharmaqualität"
Dr. Jacob's Ginseng Plus,Dr. Jacob's,adaptogens,amazon-de,39.9,200,60,"Panax + B-Vitamine, Made in Germany"
Terranova Siberian Ginseng Complex,Terranova,adaptogens,amazon-de,44.0,300,50,Full-spectrum Magnifood
Vit4ever Panax Ginseng 1200 mg,Vit4ever,adaptogens,amazon-de,29.9,1200,90,"80% Ginsenoside, vegan"
Sunday Natural Korean Ginseng,Sunday Natural,adaptogens,amazon-de,42.9,400,60,"6 Jahre gereift, Bio"
Nootropics Depot Bacopa Monnieri 24%,Nootropics Depot,adaptogens,amazon-de,39.9,320,90,"Bacoside A 24%, COA"
Double Wood Bacopa 50%,Double Wood,adaptogens,amazon-de,34.9,300,120,Bacognize Markenextrakt
Life Extension Cognitex Bacopa,Life Extension,adaptogens,amazon-de,49.0,300,60,Bacopa + Phosphatidylserin
Himalaya Bacopa MindCare,Himalaya,adaptogens,amazon-de,24.9,250,60,"Klinisch untersucht, vegan"
Pure Encapsulations Bacopa monnieri,Pure Encapsulations,adaptogens,amazon-de,41.0,320,60,"Bacognize, hypoallergen"
Nootropics Depot Lion's Mane Fruiting Body,Nootropics Depot,adaptogens,amazon-de,46.0,1000,60,"Heißwasserextrakt, COA"
Double Wood Lion's Mane,Double Wood,adaptogens,amazon-de,39.9,1000,60,"Hericium erinaceus, Fruchtkörper"
Host Defense Lion's Mane,Host Defense,adaptogens,amazon-de,52.0,1000,60,"Paul Stamets, organic"
Sunday Natural Lion's Mane Bio,Sunday Natural,adaptogens,amazon-de,44.9,1000,60,"Bio zertifiziert, Doppel-Extrakt"
KÄÄPÄ Health Lion's Mane Tincture,KÄÄPÄ Health,adaptogens,amazon-de,36.0,1000,30,"Dual Extraction, finnische Pilze"
Nootropics Depot Cordyceps Militaris 10:1,Nootropics Depot,adaptogens,amazon-de,49.0,1000,60,">25% Beta-Glucane, COA"
Double Wood Cordyceps,Double Wood,adaptogens,amazon-de,32.9,1000,120,"Cordyceps militaris, COA"
Host Defense Cordyceps,Host Defense,adaptogens,amazon-de,54.0,1000,60,Organic fruiting body
Sunday Natural Cordyceps CS-4,Sunday Natural,adaptogens,amazon-de,48.0,750,60,"CS-4 Stamm, HPLC"
KÄÄPÄ Health Cordyceps Extract,KÄÄPÄ Health,adaptogens,amazon-de,36.0,1000,30,"Dual extrahiert, Tropfen"
Nootropics Depot Reishi 1:1,Nootropics Depot,adaptogens,amazon-de,44.0,1000,60,"Ganoderma lucidum, Fruchtkörper"
Double Wood Reishi,Double Wood,adaptogens,amazon-de,34.0,1000,120,"10:1 Extrakt, third-party getestet"
Host Defense Reishi,Host Defense,adaptogens,amazon-de,52.0,1000,60,US-grown organic
Sunday Natural Reishi Sporenöl,Sunday Natural,adaptogens,amazon-de,59.0,200,60,"CO2 extrahiert, Bio"
Terranova Reishi Super-Blend,Terranova,adaptogens,amazon-de,46.0,400,50,Magnifood Complex
Dragon Herbs Spring Dragon Longevity Tea,Dragon Herbs,adaptogens,amazon-de,29.0,500,60,Fermentierter Jiaogulan Tee
Sunday Natural Jiaogulan Bio Kapseln,Sunday Natural,adaptogens,amazon-de,32.0,500,60,"Bio-Blätter, standardisiert"
Fairvital Jiaogulan Extrakt,Fairvital,adaptogens,amazon-de,36.0,400,90,GMP deutsches Labor
Nature Love Jiaogulan Pulver,Nature Love,adaptogens,amazon-de,28.0,1000,60,"Vegan, laborgeprüft"
Sevenhills Maca Pulver Bio,Sevenhills Wholefoods,adaptogens,amazon-de,21.0,5000,100,Bio zertifiziert aus Peru
Vegavero Maca Complex,Vegavero,adaptogens,amazon-de,32.0,2000,60,"Schwarz, Rot & Gelb Maca, vegan"
Sunday Natural Maca Trio,Sunday Natural,adaptogens,amazon-de,38.0,3000,60,"Bio zertifiziert, drei Sorten"
Nu U Nutrition Maca 3000 mg,Nu U Nutrition,adaptogens,amazon-de,23.0,3000,180,"Vegan, Non-GMO"
Braineffect Daily Maca,Braineffect,adaptogens,amazon-de,29.0,1200,60,"Mit Cordyceps, Made in EU"
Sunday Natural Schisandra Bio,Sunday Natural,adaptogens,amazon-de,34.0,500,60,Bio-Wildsammlung
Terranova Schisandra Complex,Terranova,adaptogens,amazon-de,42.5,500,50,Magnifood Vollspektrum
Gaia Herbs Schisandra Supreme,Gaia Herbs,adaptogens,amazon-de,36.0,500,60,"Vegan, CO2 Extrakt"
Vit4ever Schisandra 1000 mg,Vit4ever,adaptogens,amazon-de,28.0,1000,90,Labor geprüft
Dragon Herbs Schizandra Drops,Dragon Herbs,adaptogens,amazon-de,39.0,500,30,Dual Extrakt Tinktur
Toniiq Cistanche 600 mg,Toniiq,adaptogens,amazon-de,44.0,600,60,"10:1 Extract, >10% Echinacosid"
Double Wood Cistanche Tubulosa,Double Wood,adaptogens,amazon-de,45.0,500,120,"20% Echinacosid, COA"
Nootropics Depot Cistanche Extract,Nootropics Depot,adaptogens,amazon-de,58.0,600,60,HPLC Verified
Pure Encapsulations Cistanche Vein,Pure Encapsulations,adaptogens,amazon-de,64.0,300,60,"Clinisch dosiert, hypoallergen"
Nutri & Co Vitality (Cistanche + Ginseng),Nutri & Co,adaptogens,amazon-de,49.0,500,60,"10% Echinacosid, ISO"
Nootropics Depot Tongkat Ali 2% Eurycomanone,Nootropics Depot,adaptogens,amazon-de,74.0,400,60,"COA, Wurzelextrakt"
Double Wood Tongkat Ali 2%,Double Wood,adaptogens,amazon-de,59.0,400,120,"Full Spectrum, COA"
Supplements4U Tongkat Ali 200:1,Supplements4U,adaptogens,amazon-de,52.0,600,60,"Malaysischer Ursprung, lab tested"
NutraMarine Tongkat Ali + Fadogia,NutraMarine,adaptogens,amazon-de,64.0,400,60,2% Eurycomanon + Fadogia agrestis
MoleQlar Tongkat Ali Extract 400 mg,MoleQlar,adaptogens,amazon-de,62.0,400,60,Standardisiert auf 2% Eurycomanon
Organic India Gotu Kola,Organic India,adaptogens,amazon-de,23.0,350,90,"Bio, Non-GMO"
Himalaya Gotu Kola,Himalaya,adaptogens,amazon-de,21.0,350,60,"cGMP, vegan"
Sunday Natural Gotu Kola Bio,Sunday Natural,adaptogens,amazon-de,32.0,400,60,"Bio-Kulturen, laborgeprüft"
Vit4ever Gotu Kola 500 mg,Vit4ever,adaptogens,amazon-de,24.0,500,90,Labor geprüfte Qualität
Braineffect Adaptogen Hero,Braineffect,adaptogens,amazon-de,54.0,1200,30,"Blend aus Rhodiola, Ashwagandha, Cordyceps"
Onnit Shroom Tech Sport,Onnit,adaptogens,amazon-de,58.0,1400,28,"Cordyceps + Adaptogen Stack, NSF Sport"
Terranova Adaptogen Complex,Terranova,adaptogens,amazon-de,46.0,800,50,"Ashwagandha, Reishi, Cordyceps, Magnifood"
Life Extension Berberine 500 mg,Life Extension,metabolic,amazon-de,37.0,500,60,"Berberine HCl, third-party getestet"
Doctor's Best Berberine 500 mg,Doctors Best,metabolic,amazon-de,36.0,500,60,BerberPure Markenrohstoff
NOW Foods Berberine Glucose Support,NOW Foods,metabolic,amazon-de,39.9,400,90,"Mit Cinnulin PF, GMP"
Sunergetic Berberine 600 mg,Sunergetic,metabolic,amazon-de,42.0,600,60,"Berberine HCl + Ceylon-Zimt, vegan"
NutraBio Berberine Advanced,NutraBio,metabolic,amazon-de,45.0,500,90,"HPLC getestet, vegan"
MyProtein Creatine Monohydrate Creapure,MyProtein,metabolic,amazon-de,24.0,5000,100,"Creapure aus Deutschland, Labor geprüft"
ESN Ultrapure Creatine Monohydrate,ESN,metabolic,amazon-de,28.0,5000,100,"Creapure zertifiziert, Made in Germany"
Kaged Creatine HCl,Kaged,metabolic,amazon-de,34.0,750,75,"Patented Creatine HCl, Informed Sport"
Thorne Creatine,Thorne,metabolic,amazon-de,39.0,5000,60,"Creapure, NSF Sport"
Transparent Labs Creatine HMB,Transparent Labs,metabolic,amazon-de,54.0,5000,30,"Creapure + HMB, third-party getestet"
Bulk Powders Trehalose Powder,Bulk Powders,metabolic,amazon-de,19.0,5000,100,"Maisfrei, laborgeprüft"
MyVegan Trehalose,MyVegan,metabolic,amazon-de,21.0,5000,100,"Vegan, allergenfrei"
Fairvital Trehalose 100%,Fairvital,metabolic,amazon-de,28.0,5000,120,Pharmaqualität Pulver
Koro Trehalose Bio,Koro,metabolic,amazon-de,24.0,5000,120,"Bio zertifiziert, DE-ÖKO"
Vit4ever Trehalose Pulver,Vit4ever,metabolic,amazon-de,25.0,5000,120,"Labor geprüft, vegan"
Pendulum Akkermansia,Pendulum,metabolic,shop-apotheke,94.0,10,30,"Akkermansia muciniphila, DNA-verifiziert"
Omni-Biotic HETOX,Omni-Biotic,metabolic,shop-apotheke,58.0,3,30,"Synbiotisches Pulver, Pharma Qualität"
BIOMES Akkermansia Boost,BIOMES,metabolic,amazon-de,69.0,5,30,"Mit Akkermansia & Inulin, deutsches Labor"
Invivo Bio.Me Akkermansia,Invivo,metabolic,amazon-de,72.0,10,30,"Multi-strain, GMP"
Floratrex Akkermansia +,Global Healing,metabolic,iherb,65.0,25,60,"50 Mrd KBE, vegan"
Nature's Plus GI Natural Glycine,Nature's Plus,metabolic,iherb,26.0,3000,60,"Glutenfrei, vegan"
Bulk Powders Glycine Pulver,Bulk Powders,metabolic,amazon-de,18.0,5000,100,Labor getestet
VitaMoment Glycin Pulver,VitaMoment,metabolic,amazon-de,24.0,5000,120,"Made in Germany, laborgeprüft"
Sunday Natural Glycin Premium,Sunday Natural,metabolic,amazon-de,32.0,4000,100,"Pharmaqualität, rein"
Edubily Glycin Plus,Edubily,metabolic,amazon-de,34.0,4500,90,"Mit Magnesiumglycinat, hausintern geprüft"
Thorne Taurine 1000 mg,Thorne,metabolic,amazon-de,32.0,1000,90,NSF Sport
NOW Foods Taurine Double Strength,NOW Foods,metabolic,amazon-de,24.0,1000,100,"Vegetarisch, GMP"
ESN Taurin Caps,ESN,metabolic,amazon-de,22.0,1500,90,"German Made, dopingfrei"
Vit4ever Taurin 1500 mg,Vit4ever,metabolic,amazon-de,21.0,1500,120,Labor geprüft
Natural Elements Taurin,Natural Elements,metabolic,amazon-de,27.0,1000,120,"Vegan, chargengeprüft"
Life Extension L-Carnitine Caps 500 mg,Life Extension,metabolic,amazon-de,33.0,500,60,Carnipure Rohstoff
NOW Foods L-Carnitine 500 mg,NOW Foods,metabolic,amazon-de,28.0,500,100,Carnipure Tartrat
NutraBio L-Carnitine Powder,NutraBio,metabolic,amazon-de,37.0,1000,60,"Carnipure, Informed Choice"
Doppelherz L-Carnitin 500 mg,Doppelherz,metabolic,shop-apotheke,24.0,500,60,Apothekenqualität
ESN L-Carnitine Liquid 3000 mg,ESN,metabolic,amazon-de,28.0,3000,33,"Mit Vitamin B6, zuckerfrei"
Thorne Acetyl-L-Carnitine,Thorne,metabolic,amazon-de,48.0,500,60,NSF Sport
Doctor's Best Acetyl-L-Carnitine,Doctors Best,metabolic,amazon-de,39.0,588,120,"Clinically proven, Non-GMO"
NOW Foods Acetyl-L-Carnitine 750 mg,NOW Foods,metabolic,amazon-de,44.0,750,90,"Kosher, GMP"
Nootropics Depot Acetyl L-Carnitine HCl,Nootropics Depot,metabolic,amazon-de,46.0,500,120,"COA, vegane Kapseln"
Vit4ever Acetyl-L-Carnitin,Vit4ever,metabolic,amazon-de,29.0,650,120,Labor geprüft
Double Wood Alpha GPC 300 mg,Double Wood,metabolic,amazon-de,44.0,300,60,"50% Alpha-GPC, COA"
Jarrow Formulas Alpha GPC 300 mg,Jarrow Formulas,metabolic,amazon-de,48.0,300,60,"Stabilisiert, vegane Kapseln"
Nootropics Depot Alpha GPC 600 mg,Nootropics Depot,metabolic,amazon-de,72.0,600,60,">99% Reinheit, COA"
Kaged Alpha GPC,Kaged,metabolic,amazon-de,56.0,600,60,Informed Sport
Braineffect Focus Alpha GPC,Braineffect,metabolic,amazon-de,52.0,300,60,"Alpha-GPC + B-Vitamine, Made in Germany"
Garden of Life Dr. Formulated Probiotics 50B,Garden of Life,metabolic,iherb,44.0,50,30,"Shelf stable, 16 Stämme"
Hyperbiotics PRO-15 Advanced,Hyperbiotics,metabolic,amazon-de,32.0,15,60,"Time-release Pearls, Non-GMO"
Vivomixx Probiotik 450 Mrd,Vivomixx,metabolic,shop-apotheke,39.0,112,10,"Apothekenqualität, 8 Stämme"
Omni-Biotic Stress Repair,Omni-Biotic,metabolic,shop-apotheke,36.0,6,28,"15 probiotische Stämme, ISO 9001"
SymbioLact Comp,SymbioPharm,metabolic,shop-apotheke,28.0,2,30,"Apothekenqualität, Lactobacillus + Bifido"
NORSAN Omega-3 Vegan,NORSAN,other,amazon-de,39.0,2000,30,"Algenöl, IFOS 5-Star, Friend of the Sea"
Bare Biology Lion Heart Omega-3,Bare Biology,other,amazon-de,49.0,3500,30,"IFOS zertifiziert, MSC"
Wiley's Finest Peak EPA,Wiley's Finest,other,amazon-de,42.0,2150,30,"MSC zertifiziert, IFOS"
Nordic Naturals Ultimate Omega,Nordic Naturals,other,amazon-de,44.0,2000,60,"Friend of the Sea, Non-GMO"
Thorne Magnesium Bisglycinate,Thorne,other,amazon-de,46.0,200,60,"Albion Chelat, NSF Sport"
Natural Elements Magnesium Komplex,Natural Elements,other,amazon-de,26.0,400,120,"Bisglycinat + Malat, laborgeprüft"
Sunday Natural Magnesium L-Threonat,Sunday Natural,other,amazon-de,54.0,1500,90,"Magtein Markenrohstoff, laborgeprüft"
Sunday Natural D3+K2 Öl,Sunday Natural,other,amazon-de,29.0,0.025,600,"MCT-Öl, Lichen D3 + all-trans MK7"
Natural Elements Vitamin D3+K2 Tropfen,Natural Elements,other,amazon-de,24.0,0.025,365,"Labor geprüft, Öl aus Deutschland"
